Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9967302452316076,0.9999154366543666,0.9967446600211817,0.9967302452316076,0.9967235746423416,0.9915374846139517
Decision Tree,0.9940054495912807,0.9925776445264454,0.9940102350137809,0.9940054495912807,0.9940074620902032,0.9844940352737235
KNN,0.9880108991825614,0.9957656826568266,0.9882024461818232,0.9880108991825614,0.9879185744192994,0.9689799656379872
Naive Bayes,0.9945504087193461,0.994398831488315,0.9945504087193461,0.9945504087193461,0.9945504087193461,0.9858932964329643
Random Forest,0.9961852861035423,0.9999523370233703,0.9961886105455063,0.9961852861035423,0.9961865667846748,0.9901329292322476
XGBoost,0.9978201634877384,0.9999923124231241,0.9978265794892461,0.9978201634877384,0.9978172095247229,0.9943580108864609
